proverb,conversation,explanation,answer1,answer2,is_figurative,answer_key
"Ketika ada sama dimakan, waktu tak ada sama ditahan","Orang 1: Ayo kita berjuang bersama-sama untuk mencapai tujuan kita! Orang 2: Benar sekali, karena ketika ada sama dimakan, waktu tak ada sama ditahan.",bahagia atau menderita selalu dialami bersama-sama.,Berbahagia bersama-sama setelah melewati masalah,Bersama-sama ketika bahagia ataupun susah,1.0,b
"Adat dunia balas-membalas, syariat palu-memalu","Orang 1: Kenapa kamu ingin membalas dendam pada mereka? Orang 2: Adat dunia balas-membalas, syariat palu-memalu.","kebaikan hendaknya dibalas dengan kebaikan, kejahatan dibalas dengan kejahatan pula.",Orang 2 menegaskan bahwa mereka layak dibalas karena kejahatan harus dibalas dengan kejahatan,Orang 2 menegaskan bahwa mereka harus diberikan balasan jika tidak meminta maaf,0.0,a
"Air sama air kelak menjadi satu, sampah itu ke tepi juga","Orang 1: Aku tidak tahu lagi harus berbuat apa dengan perselisihan keluarga kita ini. Orang 2: Jangan khawatir, air sama air kelak menjadi satu, sampah itu ke tepi juga.","bila terjadi perselisihan keluarga, akan mudah berbaik kembali, atau bersatu lagi.","Orang 2 mengingatkan orang 1 bahwa perselisihan keluarga ini tidak akan ada akhirnya, jadi tidak perlu dikhawatirkan lagi.",Orang 2 mengingatkan orang 1 bahwa perselisihan keluarga ini akan berakhir dan keluarga akan bersatu kembali,1.0,b
Bagai membandarkan air ke bukit,"Orang 1: Ayo, kita coba memperbaiki mesin ini sendiri. Orang 2: Sudahlah, itu seperti membandarkan air ke bukit.",mengerjakan sesuatu yang sulit dikerjakan atau sia-sia.,Memperbaiki mesin tersebut adalah hal yang sulit dikerjakan,Memperbaiki mesin tersebut adalah hal yang segera mungkin harus dilakukan,1.0,a
Bagai mencincang air,"Orang 1: Aku sudah mencoba mengajarkan dia cara memasak, tapi dia tetap tidak bisa menghasilkan masakan yang enak. Orang 2: Mungkin dia memang tidak memiliki bakat memasak. Kamu seperti mencincang air saja jika terus mencoba mengajarkan padanya.",melakukan perbuatan atau pekerjaan yang sia-sia.,Orang 2 menegaskan bahwa orang tersebut perlu terus diajar cara memasak yang benar hingga bisa.,Adalah sia-sia jika terus-terusan mencoba mengajarkan cara memasak kepada orang tersebut,1.0,b
Air tenang jangan disangka tiada buayanya,"Orang 1: Kamu kelihatan pendiam, apakah kamu takut untuk berbicara di depan umum?  Orang 2: Tidak, air tenang jangan disangka tiada buayanya. Saya hanya lebih suka mendengarkan daripada berbicara terlalu banyak.",orang pendiam jangan disangka penakut.,Orang 2 menegaskan bahwa ia bukan seorang yang penakut karena seorang pendiam.,Orang 2 menegaskan bahwa ia bukan seseorang yang pendiam.,1.0,a
Seperti air dengan kolam,"Orang 1: Kamu selalu terlihat tenang dan santai, apa rahasiamu? Orang 2: Saya selalu berusaha untuk tidak terlalu emosional dan mengendalikan diri. Seperti air dengan kolam.",seorang yang selalu tenang dalam pembawaannya maupun tingkah lakunya.,Orang 2 adalah seseorang yang tenang jika telah meminum segelas air.,Orang 2 adalah seseorang yang selalu tenang pembawaannya.,1.0,b
Sambil menyelam minum air,"Orang 1: Kamu sibuk banget nih, gimana bisa menyelesaikan semua pekerjaanmu? Orang 2: Santai saja, sambil menyelam minum air.","mengerjakan suatu pekerjaan, dapat pula menyelesaikan pekerjaan atau masalah yang lain.",Orang 2 mengerjakan dua hal sekaligus.,Orang 2 mengerjakan tugasnya dengan bekerja sama dengan orang lain.,1.0,a
Menjilat air liur sendiri,"Orang 1: Saya selalu berjanji akan membantu teman-teman, tapi sebenarnya saya malas. Orang 2: Menjilat air liur sendiri.",Perkataannya tidak sesuai dengan yang dilakukan,Orang 2 mengatakan bahwa orang 1 melakukan sesuatu yang wajar terjadi.,Orang 2 mengatakan bahwa orang 1 melakukan sesuatu yang tidak sesuai dengan perkataan.,1.0,b
Membawa garam ke laut,"Orang 1: Aku ingin memberikan saran pada temanku tentang cara belajar yang baik. Orang 2: Tidak usah, dia sudah sangat pintar. Membawa garam ke laut saja. (Orang 1 dan orang 2 keduanya tertawa)","1. melakukan pekerjaan yang sia-sia, tak ada gunanya; 2. tidak berpengaruh apapun juga.",Orang 2 mengatakan bahwa usaha orang 1 sia sia.,Orang 2 mengatakan bahwa usaha orang 1 tidak boleh berlebihan.,1.0,a
Tak air hujan ditampung,Orang 1: Kenapa kamu menjual mobil kesayanganmu? Orang 2: Hanya untuk membeli barang-barang mewah yang tidak perlu. Tak air hujan ditampung.,menjual harta benda hanya untuk mencapai suatu keinginan sendiri saja,Orang 2 menjual mobilnya untuk berbisnis.,Orang 2 menjual mobilnya untuk memnuhi hasrat pribadinya.,1.0,b
"Dari telaga yang jernih, tak akan mengalir air yang keruh","Orang 1: Apa kamu yakin anakmu akan baik-baik saja ketika dia dewasa nanti? Orang 2: Tentu saja, dari telaga yang jernih, tak akan mengalir air yang keruh.",orang baik-baik biasanya akan mempunyai keturunan anak yang baik pula,Orang 2 yakin bahwa anak nya akan menjadi orang yang baik karena ia pun juga orang baik.,Orang 2 yakin bahwa anak nya berhak menentukan masa depannya.,1.0,a
"Dangkal telah keseberangan, dalam telah keajukan","Orang 1: Apa kamu yakin dia baik-baik saja?  Orang 2: Sudah aku kenal lama, dangkal telah keseberangan, dalam telah keajukan.",telah diketahui benar isi hati atau perangainya,Orang 2 yakin dia baik-baik saja karena percaya akan takdir ilahi.,Orang 2 telah mengetahui isi hati dan perangai orang tersebut.,0.0,b
Lubuk akal tepian ilmu,"Orang 1: Saya ingin tahu lebih banyak tentang budaya Indonesia. Kira-kira di mana saya bisa mencari informasi yang akurat?  Orang 2: Coba tanya ke Pak Joko, dia orang yang pandai. Lubuk akal tepian ilmu.",orang yang pandai tempat kita bertanya.,Kita seharusnya bertanya kepada orang yang pandai.,Orang pandai pastilah selalu benar.,0.0,a
Telah berurat berakar,"Orang 1: Apa pendapatmu tentang kebiasaan buruk teman kita? Orang 2: Sudah berurat berakar, sulit untuk diubah.","sudah menjadi kebiasaan, dan tak dapat diubah lagi.",Kebiasaan teman orang 1 dan orang 2 baru mereka ketahui baru baru ini.,Kebiasaan teman orang 1 dan orang 2 tidak bisa diubah lagi.,0.0,b
Mencabut harus dengan akar-akarnya,Orang 1: Bagaimana cara mengatasi masalah korupsi di Indonesia? Orang 2: Mencabut harus dengan akar-akarnya.,Membasmi kejahatan hendaknya sampai tuntas.,Korupsi harus dibasmi secara tuntas.,Korupsi harus dilawan oleh semua lapisan masyarakat.,0.0,a
"Jika tak ada rotan, akar pun berguna","Orang 1: Saya tidak punya alat untuk memasak nasi, bagaimana ini? Orang 2: Gunakan panci yang ada saja, Jika tak ada rotan, akar pun berguna.","Bila tak ada sesuatu yang baik, yang kurang baik pun dapat dipergunakan.",Orang 2 menegaskan bahwa kita harus semangat meskipun ada rintangan.,Orang 2 menegaskan bahwa kita harus cerdik dalam mencari alternatif.,1.0,b
"Kata banyak, kata bergalau","Orang 1: Apa pendapatmu tentang berita yang sedang viral di sosial media? Orang 2: Sebaiknya jangan terlalu percaya pada kabar yang belum pasti kebenarannya. Kata banyak, kata bergalau.","kata orang ramai itu kacau saja, tidak dapat dipegang benar.",Berita tersebut tidak jelas kebenarannya.,Berita tersebut tersebar begitu saja.,0.0,a
"Adapun manikam itu jikalau jatuh ke dalam lumpur sekalipun, niscaya tiada akan hilang cahayanya;","Orang 1: Bagaimana mungkin seseorang bisa tetap baik dalam situasi buruk? Orang 2: Adapun manikam itu jikalau jatuh ke dalam lumpur sekalipun, niscaya tiada akan hilang cahayanya.",", orang yang berasal baik itu, kalau bercampur dengan orang jahat atau jika ia menjadi orang melarat sekalipun, sifat dan bahasanya akan tetap baik.",Orang baik membutuhkan lingkungan yang suportif.,Orang baik akan tetap baik di manapun ia berada.,1.0,b
Seperti kerbau dicucuk hidung,"Orang 1: Kenapa kamu selalu menuruti apa yang mereka katakan? Kamu harus berpikir sendiri juga, lho. Orang 2: Tapi mereka bilang ini yang terbaik untukku. Orang 1: Tapi kamu harus mempertimbangkan juga apa yang kamu inginkan. Jangan seperti kerbau dicucuk hidung.",orang bodoh yang selalu menurut.,Jangan seperti orang bodoh yang taat tanpa berpikir.,Jangan lakukan sesuatu yang kamu tidak tertarik dengannya.,1.0,a
Tongkat membawa rebah,"Orang 1: Kamu percayakan tugas itu pada siapa? Orang 2: Saya percayakan pada teman dekat saya, tapi malah membuat kerusakan. Orang 1: Seperti kata pepatah, tongkat membawa rebah.",yang disuruh menjaga justru yang merusakkannya.,Teman dekat Orang 2 meminta maaf.,Teman dekat Orang 2 merusak tugas yang ia percayakan kepadanya.,0.0,b
"Beban berat, senggulung batu","Orang 1: Aku merasa sangat lelah dengan pekerjaan ini, tapi teman-temanku tidak membantuku sama sekali.  Orang 2: Mungkin mereka tidak tahu bagaimana membantu. Seperti kata pepatah, beban berat, senggulung batu.  Orang 1: Benar juga ya, mungkin aku harus mencari bantuan dari orang lain.",pekerjaan / tanggungan cukup berat namun orang yang membantu ternyata malas / bodoh-bodoh semua.,Teman-teman Orang 1 tidak bisa diandalkan karena mereka tidak paham dengan pekerjaan tersebut.,Teman-teman Orang 1 perlu belajar dahulu agar bisa menegerjakan proyek tersebut.,1.0,a
Belum beranak sudah ditimang,"Orang 1: Aku ingin membeli mobil baru, tapi masih belum punya uang.  Orang 2: Kenapa tidak menabung dulu?  Orang 1: Ah, nanti saja. Aku sudah memesan mobil yang aku inginkan.  Orang 2: Belum beranak sudah ditimang, ya?  Orang 1: Iya, benar sekali.",belum berhasil atau mencapai tujuan tetapi sudah bersenang senang lebih dulu.,"Orang 2 mengatakan bahwa sikap Orang 1 kurang baik, karena boros.","Orang 2 mengatakan bahwa sikap Orang 1 kurang baik, karena bersenang senang sebelum mencapai tujuan.",0.0,b
"Putus tali tempat bergantung, terban tanah tempat berpijak","Orang 1: Bagaimana kabarnya Ibu Siti setelah ditinggal suaminya yang meninggal dunia? Orang 2: Ibu Siti sangat sedih dan kehilangan arah. Putus tali tempat bergantung, terban tanah tempat berpijak.","kehilangan orang tempat menyandarkan hidup, misal istri kehilangan suami sedangkan anak masih kecil-kecil.",Ibu Siti kehilangan orang tempat menyandarkan hidup.,Ibu Sti harus bekerja keras karena nasibnya yang tidak baik.,1.0,a
"Bersatu kita teguh, bercerai kita runtuh","Orang 1: Aku merasa sulit menyelesaikan proyek ini sendirian. Orang 2: Jangan khawatir, kita bisa melakukannya bersama-sama. Bersatu kita teguh, bercerai kita runtuh.",Segala sesuatu akan berhasil apabila dikerjakan secara bergotong-royong (bersama-sama).,Proyek ini akan ditangani oleh ahlinya.,Proyek ini akan dikerjakan secara bergotong-royong.,0.0,b
Seperti anjing dengan kucing,Orang 1: Apa kabar dengan Lia dan Dinda? Orang 2: Mereka masih tidak bisa berbicara satu sama lain setelah pertengkaran kemarin. Orang 1: Seperti anjing dengan kucing ya.,digunakan untuk menggambarkan dua orang yang saling bermusuhan dan tidak bisa didamaikan.,Lia dan Dinda sedang bermusuhan.,Lia dan Dinda saling ngambek.,1.0,a
Seperti katak dalam (di bawah) tempurung,Orang 1: Apa pendapatmu tentang teknologi baru ini? Orang 2: Aku tidak tahu apa-apa tentang teknologi yang baru. Aku merasa seperti katak dalam (di bawah) tempurung.,"seseorang yang wawasannya kurang luas, bodoh, picik.",Orang 2 merasa ia ingin belajar teknologi teresebut.,Orang 2 merasa ia seseorang yang bodoh.,1.0,b
Tajam pisau karena diasah,"Orang 1: Bagaimana cara menjadi ahli dalam bahasa Indonesia? Orang 2: Dengan terus belajar dan berlatih, seperti pepatah mengatakan, Tajam pisau karena diasah.",orang menjadi pandai dan mahir karena terus belajar dan berlatih.,Orang mahir karena terus berlatih dan belajar.,Orang mahir karena mendapat dukungan berbagai pihak.,1.0,a
"Tahu makan, tahu simpan","Orang 1: Kamu selalu bisa mengatur keuangan dengan baik ya? Orang 2: Tentu saja, tahu makan, tahu simpan.",pandai membelanjakan uang; tidak boros,Orang 2 adalah seorang profesional dibidang keuangan.,Orang 2 adalah orang yang pandai membelanjakan uang.,1.0,b
"Tak ada guruh bagi orang pekak, tak ada kilat bagi orang buta","Orang 1: Aku sudah memberikan penjelasan yang jelas tapi dia masih tidak mengerti.  Orang 2: Ya, tak ada gunanya memberikan penjelasan yang bagus bagi orang yang tidak mau belajar. Tak ada guruh bagi orang pekak, tak ada kilat bagi orang buta.","bagi orang bodoh, ceramah ilmiah atau pidato yang bernas tidak ada gunanya","Bagi orang bodoh, penjelasan ilmiah tersebut tidak ada gunanya.","Bagi orang bodoh, mereka ingin fokus bersenang-senang.",0.0,a
"Tak ada rotan, akarpun jadi","Orang 1: Kita kehabisan bahan bakar di tengah perjalanan, bagaimana ini? Orang 2: Tak ada rotan, akarpun jadi. Kita bisa mencari kayu atau bahan bakar alternatif untuk melanjutkan perjalanan.","dalam keadaan terpaksa, kita harus kreatif untuk bisa memecahkan masalah yang sedang dihadapi dengan menggunakan alat atau cara cara yang tidak biasa",Dalam keadaan terpaksa kita harus bisa bertahan hidup.,Dalam keadaan terpaksa kita harus bisa mencari alternatif yang tepat.,1.0,b
"Tak ada umpat yang membunuh, tak ada puji yang mengenjang","Orang 1: Kamu selalu mengkritik saya, aku merasa tersinggung. Orang 2: Maaf jika kamu merasa seperti itu, tapi kritik itu bisa membantu kamu menjadi lebih baik. Orang 1: Tapi kadang-kadang kamu terlalu keras Orang 2: Saya hanya ingin membantu kamu berkembang, seperti kata pepatah 'Tak ada umpat yang membunuh, tak ada puji yang mengenjang'.",kritik maupun sanjungan harus disikapi dengan bijaksana; jangan cepat marah apabila dikritik dan sebaliknya jangan cepat hanyut oleh pujian.,"Kritik harus disikapi dengan bijaksana, dan tidak boleh cepat marah karenanya.",Kritik adalah hal biasa dan bagian dari kehidupan sehari-hari.,0.0,a
Tak tentu hilir mudiknya,"Orang 1: Apa yang kamu pikirkan tentang rencana liburan kita? Orang 2: Aku bingung, belum ada yang pasti. Tak tentu hilir mudiknya.",sesuatu hal yang tak jelas ujung pangkalnya.,Orang 1 sudah punya rencana liburan dan orang 2 berusaha merubahnya.,Belum jelas ujung pangkalnya liburan orang 1 dan orang 2.,0.0,b
Terpeluk biawak sial,"Orang 1: Bagaimana hasil ujianmu kemarin?  Orang 2: Saya terpeluk biawak sial, nilai saya sangat buruk.",mendapatkan sesuatu yang tidak baik atau yang tidak diharapkan.,Orang 2 mendapatkan hal yang tidak diharapkan.,Orang 2 menegaskan bahwa ia tetap percaya diri.,1.0,a
Kacang lupa akan kulitnya,"Orang 1: Apa kabar teman lama? Sudah lama tidak bertemu. Orang 2: Kabar baik, saya sekarang sudah menjadi CEO perusahaan besar di Jakarta. Orang 1: Wow, keren sekali! Apa kamu masih ingat kampung halamanmu? Masihkah kamu berbicara dengan orang-orang di kampung halaman? Orang 2: Sebenarnya saya sudah lupa. Sibuk dengan pekerjaan dan urusan bisnis. Orang 1: Jangan sampai kacang lupa akan kulitnya.",seseorang yang lupa akan asal-usulnya. Terutama ini biasanya digunakan bagi seseorang yang berasal dari kampung atau desa dan pergi ke kota menjadi kaya atau memiliki jabatan tinggi dan lupa daratan.,Orang 1 seharusnya kembali ke kampung halamannya.,Orang 1 seharusnya masih mengingat asal-usulnya dan berbicara dengan orang-orang.,1.0,b
"Malu bertanya, sesat di jalan","Orang 1: Aku bingung, nggak tahu harus gimana nih.  Orang 2: Kenapa nggak tanya aja?  Orang 1: Malu dong, takut dikira bodoh.  Orang 2: Malu bertanya, sesat di jalan.",segan bertanya berarti kita akan rugi sendiri karena persoalan yang dihadapi tidak ditemukan jalan keluarnya.,Orang yang tidak mau bertanya akan merugikan diri sendiri karena menyianyiakan kesempatan.,"Orang yang tidak mau bertanya, akan menjadi mandiri ketika menghadapi masalah.",0.0,a
"Lain gatal, lain yang digaruk","Orang 1: Kenapa kamu selalu menuduh saya mencuri uangmu? Orang 2: Karena uangku hilang dan kamu yang paling dekat dengannya! Orang 1: Tapi saya tidak mencuri uangmu. Lain gatal, lain yang digaruk.","lain yang berbuat salah, lain pula yang dituduh (tertuduh bukan yang berbuat salah).",A kesal dituduh mencuri padahal dia memang pencurinya.,A kesal dituduh mencuri padahal dia bukanlah pencurinya.,0.0,b
"Lain ladang lain belalang, lain lubuk lain ikannya","Orang 1: Kenapa adat istiadat di daerah ini berbeda dengan daerah lain ya?  Orang 2: Lain ladang lain belalang, lain lubuk lain ikannya.",setiap daerah memiliki adat istiadat yang berbeda;,Setiap daerah memiliki adat istiadat yang berbeda.,Adat di berbagai daerah berbeda karena takdir tuhan.,1.0,a
Laksana apung-apung dipermainkan ombak,Orang 1: Bagaimana kabarmu sekarang setelah kehilangan pekerjaanmu? Orang 2: Nasibku laksana apung-apung dipermainkan ombak.,"nasib yang tidak berketentuan, seperti nasib anak yatim;",Nasib orang 2 menjadi senda gurau orang lain.,Nasib orang 2 menjadi tidak berketentuan.,1.0,b
"Laksana apung-apung di tengah laut, dipukul ombak hanyut ke tepi","Orang 1: Bagaimana kabarmu setelah pindah pekerjaan? Orang 2: Masih belum mantap, Laksana apung-apung di tengah laut, dipukul ombak hanyut ke tepi.",perihal kedudukan yang belum mantap.,Nasib orang 2 menjadi tidak berketentuan.,Orang 2 menjadi senda gurau orang lain.,1.0,a
Lembu dongkol hendak menyondol,Orang 1: Aku akan melaporkanmu ke polisi jika kamu terus menggangguku!  Orang 2: Lembu dongkol hendak menyondol.,mengancam namun tak mempunyai kekuatan.,Orang 1 mengancam orang 2 karena sangat membenci orang 2.,Orang 1 hanya mengancam orang 2 namun tidak punya kekuatan untuk melakukannya.,0.0,b
Lidah bercabang bagai biawak,"Orang 1: Apa pendapatmu tentang teman kita yang baru? Orang 2: Sejauh ini dia terlihat baik, tapi hati-hati saja. Lidah bercabang bagai biawak.",orang yang tidak jujur,Teman baru tersebut orang yang tidak jujur.,Teman baru tersebut tutur lisannya manis.,1.0,a
"Luka di tangan karena pisau, luka di hati karena kata","Orang 1: Apa yang kamu lakukan membuat temanmu begitu marah? Orang 2: Saya tidak bermaksud menyakiti perasaannya, tapi kata-kata saya terlalu kasar. Orang 1: Ingatlah, luka di tangan karena pisau, luka di hati karena kata.","berhati-hatilah dalam berkata=kata, karena dapat melukai perasaan orang lain.",Orang ke-2 harus menggunakan kata-kata yang lebih keras untuk menyakiti hati temannya.,Orang ke-2 harus menggunakan kata-kata yang lebih lembut agar tidak menyakiti hati temannya.,0.0,b
Nafas tak sampai ke hidung,"Orang 1: Kamu kenapa sih? Kok kelihatan capek banget?  Orang 2: Ya, tadi siang udah meeting terus deadline juga mepet. Belum lagi tugas-tugas lain yang harus diselesaikan.  Orang 1: Wah, sibuk sekali ya?  Orang 2: Iya, sampai-sampai nafas tak sampai ke hidung.",sibuk sekali.,Orang 2 sangat sibuk.,Orang 2 memiliki masalah kesehatan.,1.0,a
Bagai alu pencungkil duri,"Orang 1: Aku sudah mencoba memperbaiki hubungan dengan dia, tapi sepertinya tidak ada perubahan sama sekali. Orang 2: Mungkin memang begitu, Bagai alu pencungkil duri.",pekerjaan yang sia-sia atau tidak mungkin dilakukan.,Tindakan orang 1 patut diapresiasi.,Tindakan orang 1 sia-sia.,1.0,b
Sudah biasa makan emping,"Orang 1: Aku gugup banget nih, besok presentasi di depan bos besar. Orang 2: Tenang saja, kamu sudah sering presentasi kok. Sudah biasa makan emping.",sudah banyak pengalaman.,Orang 2 memiliki banyak pengalaman presentasi.,Orang 2 harus lebih tenang karena sudah banyak latihan.,1.0,a
"Masuk tak genap, keluar tak ganjil","Orang 1: Siapa itu sih yang datang terlambat? Orang 2: Ah, dia bukan siapa-siapa. Masuk tak genap, keluar tak ganjil.","orang yang tak masuk hitungan, tidak penting.",Orang tersebut adalah petinggi perusahaan.,Orang tersebut bukan orang yang penting.,0.0,b
"Kalah membeli, menang memakai","Orang 1: Harganya mahal sekali, mending cari yang lebih murah saja ya? Orang 2: Tapi kalau yang murah kualitasnya jelek, nanti malah rugi. Kalah membeli, menang memakai.",membeli barang dengan harga yang mahal tidak menjadi soal asalkan kualitas barang tersebut bagus dan bertahan lama.,Orang 2 menyarankan untuk membeli barang yang mahal saja karena kualitas nya bagus dan tahan lama.,Orang 2 menyarankan untuk membeli barang-barang branded.,0.0,a
"Seperti ilmu padi, kian berisi kian merunduk","Orang 1: Saya selalu merasa rendah diri meskipun sudah memiliki banyak ilmu. Orang 2: Seperti ilmu padi, kian berisi kian merunduk.",semakin tinggi ilmunya semakin rendah hatinya,Orang yang rendah hati akan punya banyak ilmu.,Orang yang banyak ilmu akan semakin rendah hatinya.,1.0,b
Kain basah kering di pinggang,Orang 1: Bagaimana kabarmu? Apa kabar keuanganmu? Orang 2: Kain basah kering di pinggang.,sangat miskin (sehingga pakaian hanya satu-satunya yang melilit di tubuh).,Orang 2 menjadi sangat miskin.,Orang 2 sedang sakit keras.,1.0,a
"Kail sebentuk, umpan seekor, sekali putus sehari hanyut","Orang 1: Aku ingin cepat kaya, jadi aku akan membeli semua saham tanpa mempertimbangkan risiko.  Orang 2: Hati-hati, kail sebentuk, umpan seekor, sekali putus sehari hanyut.","bila mengerjakan sesuatu tanpa mempertimbangkan hal-hal lain, tidak akan mendatangkan hasil.",Jika terlalu berhati-hati tidak akan pernah untung.,Jika tidak hati-hati akan rugi.,1.0,b
"Karam di laut boleh ditimba, karam di hati bilakah sudah","Orang 1: Kenapa kamu masih sedih setelah putus dari pacarmu? Orang 2: Karam di laut boleh ditimba, karam di hati bilakah sudah.",perasaan sedih karena kehilangan kekasih sangat sukar untuk dihilangkan.,Orang 2 menegaskan bahwa ia masih sangat sedih ditinggal kekasih.,Orang 2 menegaskan bahwa ia sudah mulai bisa melupakan kesedihannya.,1.0,a
Bagai roda berputar,"Orang 1: Kamu lihat siapa tadi di jalan? Dia dulu sangat kaya, tapi sekarang hidupnya susah sekali.  Orang 2: Ya, memang begitu adanya. Bagai roda berputar.",Yang kaya jatuh ke miskin dan yang miskin menjelit ke kaya,"Meski kehidupan itu berputar, biasanya yang pernah kaya akan kembali kaya dengan mudah.",Kehidupan itu berputar kadang di atas kadang di bawah.,1.0,b
"Kalau tak ada angin bertiup, takkan pokok bergoyang","Orang 1: Kenapa kamu merasa khawatir tentang hal itu? Orang 2: Saya khawatir bahwa sesuatu akan terjadi pada bisnis kita. Orang 1: Tapi apakah ada alasan yang jelas untuk khawatir? Orang 2: Tidak, sebenarnya tidak ada. Kalau tak ada angin bertiup, takkan pokok bergoyang.","jika tidak ada sebabnya, maka tak akan sesuatu itu terjadi.",Orang 2 menegaskan tidak perlu khawatir karena jika tidak ada sebab maka tidak akan terjadi sesuatu.,Orang 2 menegaskan tidak perlu khawatir karena masalah biasanya akan selesai dengan sendirinya.,1.0,a
Di atas langit masih ada langit,Orang 1: Saya merasa sudah sangat pandai dalam bahasa Inggris. Orang 2: Di atas langit masih ada langit.,"ketika kita merasa hebat atau pandai, jangan lupa bahwa masih ada orang lain yang lebih hebat atau lebih pandai dari kita",Jangan merasa menjadi yang terhebat karena itu sombong namanya.,Jangan merasa menjadi yang terhebat karena selalu ada orang yang lebih baik dengan kita.,1.0,b
Musuh dalam selimut,"Orang 1: Kamu percaya siapa di antara teman-teman kita yang bisa jadi musuh dalam selimut?  Orang 2: Saya tidak tahu, tapi saya selalu waspada. Musuh dalam selimut bisa datang dari mana saja.",orang terdekat yang diam-diam berkhianat,Orang terdekat yang tanpa disadari menjadi berkhianat.,Orang terdekat yang diduga dari dulu mencuri selimut.,1.0,a
Pikir itu pelita hati,Orang 1: Aku merasa sangat sulit menyelesaikan tugas ini. Orang 2: Jangan menyerah! Pikir itu pelita hati.,orang yang menggunakan otaknya untuk berfikir akan selalu dapat mengatasi kesukaran yang dihadapinya.,Orang 2 mengingatkan orang 1 untuk membaca buku lebih banyak lagi.,Orang 2 mengingatkan orang 1 untuk menggunakan akal fikirannya menyelesaikan tugas.,1.0,b
"Yang menabur angin, akan menuai badai","Orang 1: Apa yang terjadi jika kamu melakukan hal yang salah? Orang 2: Yang menabur angin, akan menuai badai.","dia yang berbuat, dia pula yang terkena akibat.","Jika orang 2 melakukan salah, maka orang 2  pula yang menanggung akibatnya.","Jika orang 2  melakukan salah, maka orang 1 dan orang 2 menanggung akibatnya.",1.0,a
Tangguk lerek dengan bingkainya,"Orang 1: Bagaimana kabar pasangan Pak Tono dan Ibu Yati? Orang 2: Mereka baik-baik saja, sudah hidup bersama selama 50 tahun. Tangguk lerek dengan bingkainya.",sepasang suami istri yang hidup rukun sampai tua.,Pak Tono dan istrinya akan menyambut kedatangan cucu barunya.,Pak Tono dan istrinya selalu rukun.,1.0,b
"Tampan sudah, langgam terbawa","Orang 1: Bagaimana menurutmu hasil karya saya? Orang 2: Bagus sekali! Tampan sudah, langgam terbawa.","sudah sempurna, tidak ada lagi yang harus diperbaiki / disiasati.",Hasil karya tersebut sudah sempurna.,"Hasil karya tersebut meski sudah bagus, perlu dipoles sedikit lagi.",0.0,a
"Tali berlembar empat, bagai tungku sejerangan","Orang 1: Apa yang kamu pikirkan tentang kekuatan keluarga? Orang 2: Saya percaya bahwa keluarga yang kuat seperti tali berlembar empat, bagai tungku sejerangan.",sesuatu yang kuat / kokoh.,Ikatan keluarga adalah ikatan darah yang sudah ada dari dulu.,Ikatan keluarga adalah ikatan yang sangat kuat.,1.0,b
Takkan harimau makan anaknya,"Orang 1: Apa yang akan dilakukan bos kita jika terjadi kesalahan besar di perusahaan ini? Orang 2: Tenang saja, takkan harimau makan anaknya.",orang besar itu biasanya tidak akan mencelakakan keluarganya sendiri.,Bos tidak akan mencelakakan orang 1 dan orang 2.,Boss akan merugikan orang 1 dan orang 2.,1.0,a
Seperti Belanda minta tanah,"Orang 1: Aku sudah memberikanmu hadiah ini, apakah kamu puas? Orang 2: Belum, aku ingin yang lebih besar dan lebih mahal. Orang 1: Seperti Belanda minta tanah.","tidak puas akan pemberian orang, selalu mau lebih lagi.",Orang 2 ingin pemberian dari Belanda.,Orang 2 masih mau pemberian lainnya.,1.0,b
Tuah tidak dapat direjan-rejan,Orang 1: Bagaimana caranya menjadi terkenal di dunia ini? Orang 2: Tuah tidak dapat direjan-rejan.,kemasyhuran itu tak dapat dicari-cari.,kemasyhuran itu tak dapat dicari-cari.,kemasyhuran dapat diraih dengan usaha.,0.0,a
"Tua-tua kelapa, makin tua makin berminyak","Orang 1: Kamu sudah tua, pasti sudah tidak bisa belajar lagi ya? Orang 2: Tidak juga, Tua-tua kelapa, makin tua makin berminyak. Saya masih terus belajar sampai sekarang.",1. orang yang semakin tua semakin berisi dengan ilmu pengetahuan; 2. walaupun sudah tua namun masih tampak kuat dan awet muda.,"Meski orang 2 sudah tua, ia senang mengajarkan yang ia ketahui.","Meski orang 2 sudah tua, ia tetap haus menuntut ilmu.",1.0,b
Seperti meniup api di atas air,"Orang 1: Aku sudah mencoba memperbaiki hubungan dengan dia, tapi sepertinya tidak ada harapan lagi.  Orang 2: Mungkin memang seperti meniup api di atas air.",mengerjakan pekerjaan yang hampir tak ada harapan untuk selesai.,Sudah tidak ada harapan memperbaiki hubungan tersebut.,Dengan terus berusaha mungkin bisa memperbaiki hubungan.,1.0,a
Seperti anak yang baru dibedung,"Orang 1: Mengapa kamu tidak bisa menyelesaikan masalah ini? Orang 2: Saya sedikit lebih baik dalam matematika, saya sudah memberi tahu Anda sebelumnya. Saya seperti anak yang baru dibedung.",orang yang lurus tapi agak pandir; tak tahu berminyak air.,Orang ke-2 bukanlah orang yang jujur dan mungkin tidak ingin menyelesaikan masalah ini.,Orang ke-2 adalah orang yang jujur tetapi mungkin tidak cukup pintar untuk menyelesaikan masalah ini.,0.0,b
